barna	x1(s) is a/are mark(s)/spot(s) on x2 of material x3.	- spot; patch on surface<br>- mark
bartu	x1 is on the outside of x2; x1 is exterior to x2.	- out
basna	x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3.	- emphasize
basti	x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute.	- replace
batci	x1 bites/pinches x2 on/at specific locus x3 with x4.	- bite
batke	x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4.	- button; knob, handle
bavmi	x1 is a quantity of barley [grain] of species/strain x2.	- barley
baxso	x1 reflects Malay-Indonesian common language/culture in aspect x2.	- Malay-Indonesian
bebna	x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob.	- foolish
bemro	x1 reflects North American culture/nationality/geography in aspect x2.	- North American
bende	x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4.	- crew<br>- band; team<br>- club; association<br>- team; crew<br>- association; organization
bengo	x1 reflects Bengali/Bangladesh culture/nationality/language in aspect x2.	- Bengali
benji	x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5.	- send<br>- transmit<br>- transfer
bersa	x1 is a son of mother/father/parents x2 [not necessarily biological].	- son
berti	x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3.	- north
besna	x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control].	- brain
betfu	x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection].	- abdomen
betri	x1 is a tragedy/disaster/tragic for x2.	- tragedy
bevri	x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter].	- carry; transport
bidju	x1 is a bead/pebble [shape/form] of material x2.	- bead
bifce	x1 is a bee/wasp/hornet of species/breed x2.	- bee
bikla	x1 whips/lashes/snaps [a sudden violent motion].	- whip; violent sudden motion
bilga	x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2.	- obliged<br>- must; obligation
bilma	x1 is ill/sick/diseased with symptoms x2 from disease x3.	- ill
bilni	x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3.	- military
bindo	x1 reflects Indonesian culture/nationality/language in aspect x2.	- Indonesian
binra	x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event).	- insure
binxo	x1 becomes/changes/converts/transforms into x2 under conditions x3.	- become
birje	x1 is made of/contains/is a amount of beer/ale/brew brewed from x2.	- beer
birka	x1 is a/the arm [body-part] of x2; [metaphor: branch with strength].	- arm; shoulder appendage
birti	x1 is certain/sure/positive/convinced that x2 is true.	- certain
bisli	x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2.	- ice
bitmu	x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4.	- wall
blabi	x1 is white/very-light colored [color adjective].	- white
blaci	x1 is a quantity of/is made of/contains glass of composition including x2.	- glass
blanu	x1 is blue [color adjective].	- blue
bliku	x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3.	- block
bloti	x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3.	- boat
bolci	x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2].	- ball
bongu	x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium].	- bone
botpi	x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4.	- bottle
boxfo	x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2.	- sheet
boxna	x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5.	- wave
bradi	x1 is an enemy/opponent/adversary/foe of x2 in struggle x3.	- enemy
bratu	x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2.	- hail
brazo	x1 reflects Brazilian culture/nationality/language in aspect x2.	- Brazilian
bredi	x1 is ready/prepared for x2 (event).	- ready; prepared
bridi	x1 (du'u) is a predicate relationship with relation x2 among arguments (sequence/set) x3.	- predicate
brife	x1 is a breeze/wind/gale from direction x2 with speed x3; x1 blows from x2.	- breeze<br>- wind; breeze
briju	x1 is an office/bureau/work-place of worker x2 at location x3.	- office
brito	x1 reflects British/United Kingdom culture/nationality in aspect x2.	- British
broda	1st assignable variable predicate (context determines place structure).	- predicate var 1
brode	2nd assignable variable predicate (context determines place structure).	- predicate var 2
brodi	3rd assignable variable predicate (context determines place structure).	- predicate var 3
brodo	4th assignable variable predicate (context determines place structure).	- predicate var 4
brodu	5th assignable variable predicate (context determines place structure).	- predicate var 5
bruna	x1 is brother of/fraternal to x2 by bond/tie/standard/parent(s) x3; [not necess. biological].	- brother
budjo	x1 pertains to the Buddhist culture/religion/ethos in aspect x2.	- Buddhist
bukpu	x1 is an amount of cloth/fabric of type/material x2.	- cloth
bumru	x1 is foggy/misty/covered by a fog/mist/vapor of liquid x2.	- fog
bunda	x1 is x2 (def. 1) local weight unit(s) [non-metric], standard x3, subunits [e.g. ounces] x4.	- pound
bunre	x1 is brown/tan [color adjective].	- brown
burcu	x1 is a brush for purpose x2 (event) with bristles x3.	- brush; tool using bristles
burna	x1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x2 (abstraction).	- embarrassed
cabna	x1 is current at/in the present of/during/concurrent/simultaneous with x2 in time.	- current; present<br>- concurrent; simultaneous<br>- simultaneous<br>- now<br>- present; pertaining to the current time
cabra	x1 is apparatus/mechanism/device/equipment for function x2 controlled/[triggered] by x3 (agent).	- apparatus
cacra	x1 is x2 hours in duration (default is 1 hour) by standard x3.	- hour
cadzu	x1 walks/strides/paces on surface x2 using limbs x3.	- walk
cafne	x1 (event) often/frequently/commonly/customarily occurs/recurs by standard x2.	- frequent; occurring often<br>- often
cakla	x1 is made of/contains/is a quantity of chocolate/cocoa.	- chocolate
calku	x1 is a shell/husk [hard, protective covering] around x2 composed of x3.	- shell
canci	x1 vanishes/disappears from location x2; x1 ceases to be observed at x2 using senses/sensor x3.	- vanish
cando	x1 is idle/at rest/inactive.	- idle
cange	x1 is a farm/ranch at x2, farmed by x3, raising/producing x4; (adjective:) x1 is agrarian.	- farm
canja	x1 exchanges/trades/barters commodity x2 for x3 with x4; x1, x4 is a trader/merchant/businessman.	- trade; give in exchange for<br>- exchange
canko	x1 is a window/portal/opening [portal] in wall/building/structure x2.	- window
canlu	x1 is space/volume/region/room [at-least-3-dimensional area] occupied by x2.	- space
canpa	x1 is a shovel/spade [bladed digging implement] for digging x2.	- shovel
canre	x1 is a quantity of/contains/is made of sand/grit from source x2 of composition including x3.	- sand
canti	x1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x2.	- gut<br>- intestines
carce	x1 is a cart/carriage/wagon [wheeled vehicle] for carrying x2, propelled by x3.	- cart
carmi	x1 is intense/bright/saturated/brilliant in property (ka) x2 as received/measured by observer x3.	- intense
carna	x1 turns about vector x2 towards direction x3, turning angular distance / to face point x4	- turn; movement
cartu	x1 is a chart/diagram/map of/about x2 showing formation/data-points x3.	- chart
carvi	x1 rains/showers/[precipitates] to x2 from x3; x1 is precipitation [not limited to 'rain'].	- rain
casnu	x1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x2.	- converse; talk about<br>- discuss
catke	x1 [agent] shoves/pushes x2 at locus x3.	- push; shove<br>- shove
catlu	x1 looks at/examines/views/inspects/regards/watches/gazes at x2.	- look
catni	x1 has authority/is an official in/on/over matter/sphere/persons x2 derived on basis x3.	- authority
catra	x1 (agent) kills/slaughters/murders x2 by action/method x3.	- kill; agentive<br>- murder; kill
caxno	x1 is shallow in extent in direction/property x2 away from reference point x3 by standard x4.	- shallow
cecla	x1 launches/fires/shoots projectile/missile x2, propelled by x3 [propellant/propulsion].	- launcher
cecmu	x1 is a community/colony of organisms x2.	- community
cedra	x1 is an era/epoch/age characterized by x2 (event/property/interval/idea).	- era
cenba	x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4.	- vary
censa	x1 is holy/sacred to person/people/culture/religion/cult/group x2.	- holy
centi	x1 is a hundredth [1/100; 10^{-2}] of x2 in dimension/aspect x3 (default is units).	- .01
cerda	x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4.	- heir
cerni	x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3.	- morning
certu	x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3.	- pro; expert<br>- expert<br>- skilled<br>- competent
cevni	x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine.	- god
cfari	x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb).	- happen; occur<br>- initiate; non-agentive
cfika	x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3.	- fiction
cfila	x1 (property - ka) is a flaw/fault/defect in x2 causing x3.	- flaw
cfine	x1 is a wedge [shape/form/tool] of material x2.	- wedge; shape or tool
cfipu	x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka).	- confusing
ciblu	x1 is blood/vital fluid of organism x2.	- blood
cicna	x1 is cyan/turquoise/greenish-blue [color adjective].	- cyan
cidja	x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2.	- food<br>- nutriment
cidni	x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3.	- knee
cidro	x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable].	- hydrogen
cifnu	x1 is an infant/baby [helpless through youth/incomplete development] of species x2.	- baby; infant<br>- infant
cigla	x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1.	- gland
cikna	(adjective:) x1 is awake/alert/conscious.	- awake
cikre	x1 repairs/mends/fixes x2 for use x3.	- repair
ciksi	x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u).	- explain
cilce	(adjective:) x1 is wild/untamed.	- wild
cilmo	x1 is moist/wet/damp with liquid x2.	- wet<br>- moist
cilre	x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process).	- learn
cilta	x1 is a thread/filament/wire [shape/form] of material x2.	- thread
cimde	x1 (property - ka) is a dimension of space/object x2 according to rules/model x3.	- dimension
cimni	x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3.	- infinite
cinba	x1 (agent) kisses/busses x2 at locus x3.	- kiss
cindu	x1 is an oak, a type of tree of species/strain x2.	- oak
cinfo	x1 is a lion/[lioness] of species/breed x2.	- lion
cinje	x1 is a wrinkle/crease/fold [shape/form] in x2.	- wrinkle
cinki	x1 is an insect/arthropod of species x2; [bug/beetle].	- insect
cinla	x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension].	- thin
cinmo	x1 feels emotion x2 (ka) about x3.	- feel; experience an emotion<br>- emotion; experienced
cinri	x1 (abstraction) interests/is interesting to x2; x2 is interested in x1.	- interesting
cinse	x1 in activity/state x2 exhibits sexuality/gender/sexual orientation x3 (ka) by standard x4.	- sexual
cinta	x1 [material] is a paint of pigment/active substance x2, in a base of x3.	- paint; substance composed of solid coloring matter suspended in a liquid medium
cinza	x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3.	- tweezers<br>- pliers<br>- tongs
cipni	x1 is a bird/avian/fowl of species x2.	- bird
cipra	x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass).	- test
cirko	x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3.	- lose
cirla	x1 is a quantity of/contains cheese/curd from source x2.	- cheese
ciska	x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe.	- write
cisma	x1 smiles/grins (facial expression).	- smile; expressing happiness through a facial expression
ciste	x1 (mass) is a system interrelated by structure x2 among components x3 (set) displaying x4 (ka).	- system
citka	x1 eats/ingests/consumes (transitive verb) x2.	- eat
citno	x1 is young/youthful [relatively short in elapsed duration] by standard x2.	- young
citri	x1 is a history of x2 according to x3 (person)/from point-of-view x3.	- history
citsi	x1 is a season/is seasonal [cyclical interval], defined by interval/property x2, of year(s) x3.	- season
civla	x1 is a louse/flea [blood-sucking arthropod] of species/breed x2, parasitic on x3.	- louse
cizra	x1 is strange/weird/deviant/bizarre/odd to x2 in property x3 (ka).	- strange
ckabu	x1 is a quantity of/contains/is made of rubber/latex from source x2 of composition including x3.	- rubber
ckafi	x1 is made of/contains/is a quantity of coffee from source/bean/grain x2.	- coffee
ckaji	x1 has/is characterized by property/feature/trait/aspect/dimension x2 (ka); x2 is manifest in x1.	- feature; trait<br>- trait<br>- has quality<br>- attribute; trait<br>- property; trait<br>- characteristic<br>- quality; trait
ckana	x1 is a bed/pallet of material x2 for holding/supporting x3 (person/object/event).	- bed
ckape	x1 is perilous/dangerous/potentially harmful to x2 under conditions x3.	- peril
ckasu	x1 ridicules/mocks/scoffs at x2 about x3 (property/event) by doing activity x4 (event).	- ridicule
ckeji	x1 feels ashamed/mortified/humiliated under conditions x2 before community/audience x3.	- ashamed
ckiku	x1 is a key fitting/releasing/opening/unlocking lock x2, and having relevant properties x3.	- key
ckilu	x1 (si'o) is a scale of units for measuring/observing/determining x2 (state).	- scale
ckini	x1 is related to/associated with/akin to x2 by relationship x3.	- related
ckire	x1 is grateful/thankful to/appreciative of x2 for x3 (event/property).	- grateful
ckule	x1 is school/institute/academy at x2 teaching subject(s) x3 to audien./commun. x4 operated by x5.	- school
ckunu	x1 is a conifer/pine/fir of species/strain x2 with cones x3.	- conifer
cladu	x1 is loud/noisy at observation point x2 by standard x3.	- loud
clani	x1 is long in dimension/direction x2 (default longest dimension) by measurement standard x3.	- long
claxu	x1 is without/lacking/free of/lacks x2; x1 is x2-less.	- without<br>- lack
clika	x1 is a moss/lichen of species/strain x2 growing on x3; (adjective:) x1 is mossy.	- mossy
clira	x1 (event) is early by standard x2.	- early
clite	x1 is polite/courteous/civil in matter x2 according to standard/custom x3.	- polite
cliva	x1 leaves/goes away/departs/parts/separates from x2 via route x3.	- leave
clupa	x1 is a loop/circuit of x2 [material].	- loop
cmaci	x1 is a mathematics of type/describing x2.	- mathematics
cmalu	x1 is small in property/dimension(s) x2 (ka) as compared with standard/norm x3.	- small
cmana	x1 is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x2.	- mountain
cmavo	x1 is a structure word of grammatical class x2, with meaning/function x3 in usage (language) x4.	- structure word
cmene	x1 (quoted word(s)) is a/the name/title/tag of x2 to/used-by namer/name-user x3 (person).	- title; name<br>- name; reference word
cmila	x1 laughs (emotional expression).	- laugh
cmima	x1 is a member/element of set x2; x1 belongs to group x2; x1 is amid/among/amongst group x2.	- belong to; be a member of<br>- member
cmoni	x1 utters moan/groan/howl/scream [non-linguistic utterance] x2 expressing x3 (property).	- moan
cnano	x1 [value] is a norm/average in property/amount x2 (ka/ni) among x3(s) (set) by standard x4.	- average; norm<br>- norm; average
cnebo	x1 is a/the neck [body-part] of x2; [metaphor: a relatively narrow point].	- neck
cnemu	x1 (agent) rewards x2 [recipient] for atypical x3 (event/property) with reward/desserts x4.	- reward
cnici	x1 is orderly/neat/ordered in property/quantity x2 (ka/ni).	- orderly
cnino	x1 is new/unfamiliar/novel to observer x2 in feature x3 (ka) by standard x4; x1 is a novelty.	- new
cnisa	x1 is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal].	- lead
cnita	x1 is directly/vertically beneath/below/under/underneath/down from x2 in frame of reference x3.	- below<br>- beneath<br>- under; beneath
cokcu	x1 soaks up/absorbs/sucks up x2 from x3 into x4; x1 is an absorbant.	- soak up
condi	x1 is deep in extent in direction/property x2 away from reference point x3 by standard x4.	- deep
cortu	x1 hurts/feels pain/hurt at locus x2.	- pain
cpacu	x1 gets/procures/acquires/obtains/accepts x2 from source x3 [previous possessor not implied].	- get
cpana	x1 is upon/atop/resting on/lying on [the upper surface of] x2 in frame of reference/gravity x3.	- upon
cpare	x1 climbs/clambers/creeps/crawls on surface x2 in direction x3 using x4 [limbs/tools].	- climb
cpedu	x1 requests/asks/petitions/solicits for x2 of/from x3 in manner/form x4.	- ask; make a request<br>- request
cpina	x1 is pungent/piquant/peppery/spicy/irritating to sense x2.	- pungent
cradi	x1 broadcasts/transmits [using radio waves] x2 via station/frequency x3 to [radio] receiver x4.	- radio
crane	x1 is anterior/ahead/forward/(in/on) the front of x2 which faces/in-frame-of-reference x3.	- front; anterior
creka	x1 is a shirt/blouse/top [upper-body garment - not necessarily sleeved or buttoned], material x2.	- shirt
crepu	x1 (agent) harvests/reaps/gathers crop/product/objects x2 from source/area x3.	- harvest
cribe	x1 is a bear/ursoid of species/breed x2.	- bear
crida	x1 is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion x2.	- elf; mythical creature<br>- goblin; mythical creature<br>- fairy<br>- demon<br>- gnome; mythical creature
crino	x1 is green/verdant [color adjective].	- green
cripu	x1 is a bridge/span over/across x2 between x3 and x4 [unordered, typically destination first].	- bridge
crisa	x1 is summer/summertime [hot season] of year x2 at location x3.	- summer
critu	x1 is autumn/fall [harvest/cooling season] of year x2 at location x3.	- autumn
ctaru	x1 is a tide [cyclical/periodic expansion] in x2 caused by x3.	- tide
ctebi	x1 is a/the lip [body-part]/rim of orifice x2 of body x3; (adjective:) x1 is labial.	- lip
cteki	x1 is a tax/levy/duty on goods/services/event x2 levied against x3 by authority/collector x4.	- tax
ctile	x1 is a quantity of petroleum/oil from source x2.	- oil; petroleum<br>- petroleum
ctino	x1 is a shadow/the shade of object x2, made by light/energy source x3.	- shadow
ctuca	x1 teaches audience x2 ideas/methods/lore x3 (du'u) about subject(s) x4 by method x5 (event).	- teach
cukla	x1 is round/circular [2-dimensional shape/form]; x1 is a disk/circle/ring.	- round; 2-dimensional
cukta	x1 is a book containing work x2 by author x3 for audience x4 preserved in medium x5.	- book
culno	x1 is full/completely filled with x2.	- full
cumki	x1 (event/state/property) is possible under conditions x2; x1 may/might occur; x1 is a maybe.	- possible
cumla	x1 is humble/modest about x2 (abstraction); x1 displays humility about x2.	- humble
cunmi	x1 is a quantity of millet [grain] of species/strain x2.	- millet
cunso	x1 is random/fortuitous/unpredictable under conditions x2, with probability distribution x3.	- random
cuntu	x1 is an affair/organized activity involving person(s) x2 (ind./mass); x1 is x2's business.	- affair
cupra	x1 produces x2 [product] by process x3.	- produce
curmi	x1 (agent) lets/permits/allows x2 (event) under conditions x3; x1 grants privilege x2.	- let<br>- permit
curnu	x1 is a worm/invertebrate animal of species/breed x2.	- worm
curve	x1 is pure/unadulterated/unmitigated/simple in property x2 (ka).	- pure
cusku	x1 (agent) expresses/says x2 (sedu'u/text/lu'e concept) for audience x3 via expressive medium x4.	- mention<br>- express<br>- say
cutci	x1 is a shoe/boot/sandal for covering/protecting [feet/hooves] x2, and of material x3.	- shoe
cutne	x1 is a/the chest/thorax/upper trunk/[rib cage/breast] [body-part] of x2.	- chest; anatomy
cuxna	x1 chooses/selects x2 [choice] from set/sequence of alternatives x3 (complete set).	- pick; decide between options<br>- choose
dacru	x1 is a drawer/file in structure x2, a [sliding compartment] container for contents x3.	- drawer
dacti	x1 is a material object enduring in space-time; x1 is a thing.	- object
dadjo	x1 pertains to the Taoist culture/ethos/religion in aspect x2.	- Taoist
dakfu	x1 is a knife (tool) for cutting x2, with blade of material x3.	- knife
dakli	x1 is a sack/bag with contents x2, and of material x3.	- bag; sack<br>- sack
damba	x1 fights/combats/struggles with x2 over issue x3 (abstract); x1 is a fighter/combatant.	- fight<br>- struggle; fight
damri	x1 is a drum/cymbal/gong [percussion musical instrument] with beater/actuator x2.	- drum
dandu	x1 hangs/dangles/is suspended from x2 by/at/with joint x3.	- hang
danfu	x1 is the answer/response/solution/[reply] to question/problem x2.	- answer
danlu	x1 is an animal/creature of species x2; x1 is biologically animate.	- animal
danmo	x1 is made of/contains/is a quantity of smoke/smog/air pollution from source x2.	- smoke
danre	x1 (force) puts pressure on/presses/applies force to x2.	- press; apply pressure<br>- pressure
dansu	x1 (individual, mass) dances to accompaniment/music/rhythm x2.	- dance
danti	x1 is a ballistic projectile [e.g. bullet/missile] for firing by [gun/propelling launcher] x2.	- projectile
daplu	x1 is an island/atoll/key of [material/properties] x2 in surroundings/body x3; x1 is insular.	- island
dapma	x1 curses/damns/condemns x2 to fate (event) x3.	- curse; fate
dargu	x1 is a road/highway to x2 from x3 with route x4 (x2/x3 may be unordered).	- road
darlu	x1 argues for stand x2 against stand x3; [an opponent is not necessary].	- argue
darno	x1 is far/distant from x2 in property x3 (ka).	- far
darsi	x1 shows audacity/chutzpah in behavior x2 (event/activity); x1 dares to do/be x2 (event/ka).	- audacity
darxi	x1 hits/strikes/[beats] x2 with instrument [or body-part] x3 at locus x4.	- hit<br>- strike; hit
daski	x1 is a pocket/pouch of/in garment/item x2.	- pocket
dasni	x1 wears/is robed/garbed in x2 as a garment of type x3.	- wear
daspo	x1 (event) destroys/ruins/wrecks/despoils x2; x1 is destructive.	- destroy
dasri	x1 is a ribbon/tape/strip/band/stripe of material x2.	- ribbon
datka	x1 is a duck/[drake] of species/breed x2.	- duck
datni	x1 (du'u) [fact/measurement] is data/information/statistic(s) about x2 gathered by method x3.	- data
decti	x1 is a tenth [1/10; 10^{-1}] of x2 in dimension/aspect x3 (default is units).	- .1
degji	x1 is a/the finger/digit/toe [body-part] on limb/body site x2 of body x3; [metaphor: peninsula].	- finger
dejni	x1 owes x2 in debt/obligation to creditor x3 in return for x4 [service, loan]; x1 is a debtor.	- owe
dekpu	x1 is x2 (default 1) local volume unit(s) [non-metric; e.g. bushel], standard x3, x4 subunits.	- gallon
dekto	x1 is ten [10; 10^1] of x2 in dimension/aspect x3 (default is units).	- 10
delno	x1 is x2 candela [metric unit] in luminosity (default is 1) by standard x3.	- candela
dembi	x1 is a bean/pea/leguminous seed from plant [legume] x2.	- bean
denci	x1 is a/the tooth [body-part] of x2; (adjective:) x1 is dental.	- tooth
denmi	x1 is dense/concentrated/packed/intense in property x2 (ka) at location/locus x3.	- dense
denpa	x1 awaits/waits/pauses for/until x2 at state x3 before starting/continuing x4 (activity/process).	- wait; pause
dertu	x1 is a quantity of/contains/is made of dirt/soil/earth/ground from source x2 of composition x3.	- dirt
derxi	x1 is a heap/pile/stack/mound/hill of materials x2 at location x3.	- heap
desku	x1 shakes/quakes/trembles/quivers/shudders/wobbles/vibrates from force x2.	- shake
detri	x1 is the date [day,{week},{month},year] of event/state x2, at location x3, by calendar x4.	- date
dicra	x1 (event) interrupts/stops/halts/[disrupts] x2 (object/event/process) due to quality x3.	- interrupt; to disrupt
dikca	x1 is electricity [electric charge or current] in/on x2 of polarity/quantity x3 (def. negative).	- electric
diklo	x1 is local to x2; x1 is confined to locus x2 within range x3; x1 is regional	- regional<br>- local
dikni	x1 is regular/cyclical/periodic in property (ka)/activity x2 with period/interval x3.	- regular
dilcu	x1 is a quotient of 'x2/x3' [dividend x2 divided by divisor x3], leaving remainder x4.	- quotient
dilnu	x1 is a cloud/mass of clouds of material x2 in air mass x3 at floor/base elevation x4.	- cloud
dimna	x1 is a fate/destiny of x2; [doom, curse are mabla-forms]; x2 is fated/predestined/doomed to x1.	- fate
dinju	x1 is a building/edifice for purpose x2.	- building
dinko	x1 is a nail/tack [pointed driven/frictional fastener] of type/size x2 (ka), made of material x3.	- nail
dirba	x1 is dear/precious/darling to x2; x1 is emotionally valued by x2.	- dear
dirce	x1 radiates/emits x2 under conditions x3.	- radiate
dirgo	x1 is a drop [small, cohesive shape] of material [liquid/vapor] x2 in surrounding material x3.	- drop
dizlo	x1 is low/down/downward in frame of reference x2 as compared with baseline/standard height x3.	- low
djacu	x1 is made of/contains/is a quantity/expanse of water; (adjective:) x1 is aqueous/[aquatic].	- water
djedi	x1 is x2 full days in duration (default is 1 day) by standard x3; (adjective:) x1 is diurnal.	- full day
djica	x1 desires/wants/wishes x2 (event/state) for purpose x3.	- desire
djine	x1 is a ring/annulus/torus/circle [shape/form] of material x2, inside diam. x3, outside diam. x4.	- ring
djuno	x1 knows fact(s) x2 (du'u) about subject x3 by epistemology x4.	- know
donri	x1 is the daytime of day x2 at location x3; (adjective:) x1 is diurnal (vs. nocturnal).	- daytime
dotco	x1 reflects German/Germanic culture/nationality/language in aspect x2.	- German; in general
draci	x1 is a drama/play about x2 [plot/theme/subject] by dramatist x3 for audience x4 with actors x5.	- drama
drani	x1 is correct/proper/right/perfect in property/aspect x2 (ka) in situation x3 by standard x4.	- correct; right, proper
drata	x1 isn't the-same-thing-as/is different-from/other-than x2 by standard x3; x1 is something else.	- other
drudi	x1 is a roof/top/ceiling/lid of x2.	- roof
dugri	x1 is the logarithm of x2 with base x3.	- logarithm; mathematical
dukse	x1 is an excess of/too much of x2 by standard x3.	- excess
dukti	x1 is polar opposite from/contrary to x2 in property/on scale x3 (property/si'o).	- opposite
dunda	x1 [donor] gives/donates gift/present x2 to recipient/beneficiary x3 [without payment/exchange].	- give
dunja	x1 freezes/jells/solidifies at temperature x2 and pressure x3.	- freeze
dunku	x1 is anguished/distressed/emotionally wrought/stressed by x2.	- anguish
dunli	x1 is equal/congruent to/as much as x2 in property/dimension/quantity x3.	- equal
dunra	x1 is winter/wintertime [cold season] of year x2 at location x3.	- winter
dzena	x1 is an elder/ancestor of x2 by bond/tie/degree x3; x1's generation precedes x2's parents.	- elder<br>- ancestor
dzipo	x1 reflects Antarctican culture/nationality/geography in aspect x2.	- Antarctican
facki	x1 discovers/finds out x2 (du'u) about subject/object x3; x1 finds (fi) x3 (object).	- discover
